House_ID,Location,Bedrooms,Bathrooms,Balconies,Area_sqft,Furnishing,Parking,Age_of_Property,Floor,Total_Floors,House_Type,Price_INR
H0071,Bangalore,1,4,3,3823,Unfurnished,0,7,2,14,Villa,3207806
H0072,Bangalore,2,4,0,2978,Unfurnished,0,16,5,5,Independent House,12544142
H0073,Chennai,1,2,2,3786,Semi-Furnished,2,21,9,9,Independent House,20691841
H0074,Bangalore,4,3,0,3541,Semi-Furnished,0,22,9,18,Independent House,22087521
H0075,Pune,5,3,2,1907,Unfurnished,2,13,2,6,Apartment,23504073
H0076,Bangalore,1,1,1,1498,Unfurnished,0,26,7,17,Apartment,23865378
H0077,Mumbai,1,3,0,1698,Furnished,1,20,10,15,Villa,16246205
H0078,Mumbai,3,1,1,1789,Unfurnished,1,29,14,13,Independent House,16333479
H0079,Kolkata,5,2,3,1812,Semi-Furnished,2,20,4,11,Apartment,22129126
H0080,Mumbai,2,4,2,2725,Furnished,1,6,13,14,Apartment,17730649
H0081,Kolkata,4,4,2,3594,Semi-Furnished,2,26,13,12,Apartment,21848249
H0082,Mumbai,2,4,1,1287,Furnished,2,14,3,10,Villa,1661101
H0083,Pune,5,3,3,2668,Semi-Furnished,1,15,11,13,Independent House,4200463
H0084,Coimbatore,1,1,0,1165,Unfurnished,2,18,1,10,Villa,15576028
H0085,Kolkata,1,1,0,1807,Semi-Furnished,1,5,3,11,Independent House,19115610
H0086,Hyderabad,5,2,2,2494,Furnished,0,22,11,11,Independent House,24131985
H0087,Delhi,1,3,1,3893,Semi-Furnished,0,0,9,13,Apartment,1969596
H0088,Chennai,1,2,1,1426,Furnished,1,11,14,15,Apartment,2633435
H0089,Mumbai,1,1,0,1951,Semi-Furnished,1,17,9,12,Apartment,13080293
H0090,Bangalore,4,1,3,2826,Unfurnished,1,15,7,17,Apartment,13903632
H0091,Coimbatore,4,4,3,2411,Unfurnished,1,11,3,5,Apartment,5558518
H0092,Mumbai,3,3,0,3783,Semi-Furnished,0,19,13,8,Independent House,23301691
H0093,Bangalore,2,1,0,1682,Semi-Furnished,2,12,3,11,Apartment,14383789
H0094,Delhi,5,4,1,1950,Semi-Furnished,2,7,4,15,Apartment,20944045
H0095,Delhi,5,3,3,3552,Furnished,0,26,7,12,Villa,14926266
H0096,Delhi,5,2,0,2244,Semi-Furnished,2,28,7,11,Villa,21872411
H0097,Bangalore,3,3,0,3316,Semi-Furnished,0,29,12,16,Independent House,23450818
H0098,Mumbai,4,3,2,790,Furnished,2,25,12,7,Independent House,3614732
H0099,Delhi,3,1,0,1823,Unfurnished,1,21,14,19,Villa,14460956
H0100,Pune,5,1,0,1935,Semi-Furnished,1,0,2,8,Villa,24962711
H0101,Kolkata,2,3,3,1307,Semi-Furnished,1,25,12,16,Apartment,23779169
H0102,Bangalore,1,1,1,3706,Unfurnished,0,20,5,11,Apartment,1723080
H0103,Bangalore,4,1,3,978,Unfurnished,0,6,7,12,Independent House,16973580
H0104,Mumbai,4,1,1,986,Furnished,2,14,7,11,Villa,5049551
H0105,Bangalore,3,4,2,2884,Semi-Furnished,2,28,6,10,Independent House,8398199
H0106,Bangalore,4,4,0,1215,Semi-Furnished,2,21,10,13,Apartment,23894780
H0107,Delhi,5,3,2,2142,Furnished,0,12,10,13,Independent House,4599586
H0108,Mumbai,5,1,1,2930,Unfurnished,2,12,12,15,Independent House,3973836
H0109,Delhi,3,4,3,2648,Furnished,1,27,8,17,Independent House,8785315
H0110,Kolkata,5,3,3,2354,Unfurnished,2,8,3,11,Apartment,21041697
H0111,Coimbatore,2,1,2,1063,Furnished,1,23,1,12,Independent House,18209203
H0112,Kolkata,3,2,1,3901,Unfurnished,0,14,3,10,Apartment,4067604
H0113,Coimbatore,2,1,2,1566,Furnished,1,3,11,5,Villa,5035054
H0114,Delhi,1,1,2,771,Unfurnished,1,12,2,5,Independent House,8545663
H0115,Kolkata,2,4,0,3758,Unfurnished,1,26,2,10,Independent House,14643868
H0116,Mumbai,1,3,2,1746,Unfurnished,0,11,14,6,Apartment,10686985
H0117,Chennai,1,3,0,1442,Unfurnished,0,4,14,18,Independent House,20420894
H0118,Delhi,2,4,0,1921,Unfurnished,0,6,2,12,Apartment,12557765
H0119,Coimbatore,3,1,3,2508,Semi-Furnished,0,7,5,5,Independent House,13486978
H0120,Pune,5,2,0,1289,Unfurnished,2,4,13,17,Villa,24276626
H0121,Coimbatore,5,1,0,3222,Semi-Furnished,0,8,1,6,Villa,4860966
H0122,Pune,1,1,3,2107,Unfurnished,1,13,10,12,Villa,8301196
H0123,Bangalore,1,2,2,2812,Semi-Furnished,0,25,4,16,Independent House,9077676
H0124,Kolkata,3,4,1,2624,Semi-Furnished,2,11,14,10,Independent House,4998352
H0125,Pune,4,3,1,2322,Furnished,2,3,10,16,Villa,19807904
H0126,Coimbatore,2,4,1,982,Unfurnished,2,19,5,14,Villa,10921148
H0127,Bangalore,1,4,2,2856,Furnished,1,28,2,6,Apartment,4781401
H0128,Chennai,5,1,0,2012,Furnished,0,7,5,6,Apartment,24319458
H0129,Mumbai,3,3,1,2183,Unfurnished,0,16,10,15,Villa,9368653
H0130,Mumbai,2,3,2,2871,Furnished,0,7,4,18,Villa,13154720
H0131,Mumbai,3,4,0,2650,Unfurnished,1,20,8,11,Independent House,17246479
H0132,Pune,2,2,3,971,Furnished,1,28,1,9,Villa,10726377
H0133,Chennai,2,4,1,2310,Unfurnished,2,29,12,9,Apartment,20394563
H0134,Pune,1,2,0,2069,Unfurnished,2,26,5,12,Apartment,13455400
H0135,Kolkata,3,3,1,1210,Unfurnished,0,0,14,16,Apartment,6307821
H0136,Pune,3,4,1,715,Semi-Furnished,1,19,14,16,Apartment,16031171
H0137,Chennai,5,1,1,3941,Furnished,1,1,11,11,Apartment,23692022
H0138,Chennai,5,4,0,1046,Semi-Furnished,0,3,12,16,Apartment,13922754
H0139,Kolkata,1,3,2,1991,Furnished,0,23,10,18,Villa,13347478
H0140,Chennai,1,1,0,3924,Furnished,2,20,1,13,Apartment,20115209
H0141,Coimbatore,4,1,1,1940,Furnished,2,0,10,8,Apartment,22271170
H0142,Chennai,5,2,0,1014,Semi-Furnished,2,6,10,14,Apartment,18320801
H0143,Mumbai,2,1,3,3766,Furnished,0,0,4,8,Apartment,23735982
H0144,Coimbatore,3,1,2,2408,Semi-Furnished,0,8,8,6,Villa,22773928
H0145,Coimbatore,1,4,0,3539,Unfurnished,2,2,1,7,Independent House,8217998
H0146,Kolkata,3,3,3,1647,Furnished,2,11,11,5,Independent House,16002736
H0147,Hyderabad,3,2,2,3310,Furnished,1,18,2,5,Independent House,11913949
H0148,Hyderabad,4,4,3,2473,Unfurnished,1,14,1,11,Independent House,11589617
H0149,Chennai,5,1,2,1673,Unfurnished,2,21,11,18,Apartment,17053687
H0150,Coimbatore,1,1,0,1317,Furnished,2,15,7,18,Independent House,2427510
H0151,Hyderabad,3,2,3,1958,Unfurnished,1,9,2,9,Independent House,14416875
H0152,Hyderabad,1,3,1,3750,Semi-Furnished,2,21,1,7,Villa,18715508
H0153,Chennai,2,2,3,2205,Semi-Furnished,1,28,12,11,Villa,19525725
H0154,Hyderabad,4,4,2,3698,Furnished,1,26,6,18,Villa,8543135
H0155,Pune,2,2,0,2918,Semi-Furnished,1,26,6,6,Apartment,13477945
H0156,Bangalore,1,1,2,1161,Semi-Furnished,0,5,10,7,Apartment,16969639
H0157,Kolkata,1,4,3,3451,Furnished,0,28,2,5,Apartment,19033917
H0158,Bangalore,5,1,3,2894,Unfurnished,2,16,1,12,Villa,17548289
H0159,Chennai,3,3,1,986,Furnished,1,20,14,6,Independent House,24731044
H0160,Mumbai,3,1,0,1301,Semi-Furnished,0,27,10,19,Villa,24529662
H0161,Kolkata,2,1,0,3206,Furnished,2,21,3,11,Apartment,13806165
H0162,Chennai,4,2,3,1572,Furnished,2,23,10,15,Villa,2861349
H0163,Coimbatore,3,1,0,1984,Semi-Furnished,2,28,14,13,Independent House,9260854
H0164,Mumbai,5,4,1,1583,Semi-Furnished,2,16,5,10,Apartment,19889996
H0165,Bangalore,2,4,2,2111,Furnished,2,20,6,6,Independent House,18338546
H0166,Chennai,2,3,0,951,Semi-Furnished,1,18,3,6,Independent House,12779743
H0167,Coimbatore,5,4,3,2324,Semi-Furnished,2,17,9,13,Apartment,7775178
H0168,Kolkata,4,2,2,2551,Semi-Furnished,1,10,11,14,Independent House,18640332
H0169,Kolkata,5,3,2,1879,Semi-Furnished,0,23,5,12,Villa,2930343
H0170,Delhi,4,4,1,3893,Semi-Furnished,2,6,13,18,Independent House,17737708
H0171,Coimbatore,5,2,3,2507,Semi-Furnished,0,9,2,18,Independent House,3972512
H0172,Pune,5,4,0,1352,Unfurnished,1,6,10,18,Independent House,22456293
H0173,Hyderabad,1,4,3,3428,Furnished,1,4,6,13,Villa,8118991
H0174,Mumbai,2,1,2,1624,Semi-Furnished,0,11,12,8,Independent House,7390714
H0175,Coimbatore,5,4,3,1145,Furnished,2,15,8,8,Independent House,13945774
H0176,Delhi,5,4,0,2069,Unfurnished,2,28,11,19,Villa,2087699
H0177,Hyderabad,3,2,0,678,Semi-Furnished,0,24,6,19,Apartment,2264797
H0178,Hyderabad,2,2,1,1859,Furnished,0,20,4,6,Apartment,13107521
H0179,Chennai,3,1,0,2981,Semi-Furnished,0,17,6,18,Apartment,14582873
H0180,Hyderabad,2,4,0,1488,Semi-Furnished,2,2,8,14,Independent House,7399128
H0181,Pune,3,1,3,3769,Semi-Furnished,2,19,8,5,Apartment,22972255
H0182,Kolkata,5,4,3,1705,Semi-Furnished,2,14,13,14,Villa,22599094
H0183,Delhi,5,3,2,3149,Semi-Furnished,0,4,10,17,Independent House,5358223
H0184,Hyderabad,1,3,1,2590,Semi-Furnished,2,12,2,8,Independent House,19355216
H0185,Chennai,3,1,3,2100,Semi-Furnished,1,18,8,14,Independent House,13075895
H0186,Pune,4,1,0,3412,Unfurnished,0,11,6,14,Apartment,22982446
H0187,Bangalore,1,1,2,1520,Unfurnished,2,29,2,15,Apartment,18525506
H0188,Kolkata,3,2,3,1149,Semi-Furnished,0,22,1,12,Apartment,16595979
H0189,Kolkata,3,2,1,2661,Semi-Furnished,1,20,6,6,Independent House,9543364
H0190,Delhi,1,2,1,991,Unfurnished,1,4,13,17,Villa,19835760
H0191,Kolkata,5,1,2,2957,Unfurnished,0,5,7,16,Independent House,22083717
H0192,Hyderabad,3,4,2,3033,Unfurnished,0,6,14,15,Villa,4119189
H0193,Chennai,5,3,2,3880,Semi-Furnished,1,25,14,12,Independent House,7858234
H0194,Kolkata,1,1,2,1980,Furnished,0,9,10,5,Villa,5004179
H0195,Kolkata,5,2,2,1573,Furnished,1,15,5,19,Independent House,10767214
H0196,Bangalore,2,2,0,3765,Furnished,1,7,14,5,Independent House,2598168
H0197,Bangalore,4,1,0,3764,Furnished,2,8,10,8,Villa,11125589
H0198,Mumbai,3,1,3,939,Semi-Furnished,0,26,8,11,Villa,4129479
H0199,Pune,4,2,1,3244,Furnished,0,3,11,13,Villa,20513638
H0200,Hyderabad,5,4,0,1356,Unfurnished,2,20,13,9,Villa,12151186
H0201,Kolkata,3,2,0,1645,Unfurnished,1,20,12,6,Villa,24290969
H0202,Coimbatore,5,2,0,2938,Furnished,0,7,9,16,Villa,23786064
H0203,Kolkata,2,1,3,2953,Unfurnished,2,24,4,11,Villa,20377804
H0204,Chennai,1,4,2,3281,Semi-Furnished,2,6,7,15,Villa,23167737
H0205,Mumbai,3,2,3,3799,Furnished,0,14,8,6,Independent House,8856089
H0206,Pune,2,2,1,3272,Furnished,2,20,13,13,Villa,6219902
H0207,Coimbatore,2,3,1,1538,Semi-Furnished,1,2,6,13,Villa,17879841
H0208,Mumbai,3,1,1,3944,Unfurnished,2,16,2,7,Independent House,11706313
H0209,Delhi,5,3,1,1447,Semi-Furnished,1,10,7,17,Independent House,24299372
H0210,Pune,2,3,0,1041,Semi-Furnished,1,8,13,12,Apartment,5236029
H0211,Kolkata,4,2,0,3150,Unfurnished,0,4,9,15,Apartment,19123670
H0212,Kolkata,2,1,3,729,Semi-Furnished,2,24,5,8,Villa,21038634
H0213,Pune,5,4,2,3803,Unfurnished,1,9,2,7,Villa,24185324
H0214,Kolkata,5,2,1,1196,Unfurnished,1,14,4,5,Apartment,20917202
H0215,Hyderabad,4,4,3,2558,Semi-Furnished,2,27,3,9,Apartment,6740888
H0216,Pune,2,4,0,2105,Unfurnished,1,28,4,17,Villa,4154589
H0217,Mumbai,5,1,0,1461,Semi-Furnished,2,13,10,18,Apartment,21621397
H0218,Pune,3,3,2,3240,Unfurnished,0,3,7,15,Villa,9132034
H0219,Coimbatore,1,1,2,1598,Furnished,1,20,10,8,Independent House,23565426
H0220,Kolkata,1,4,2,2972,Unfurnished,1,19,8,5,Independent House,3327916
H0221,Hyderabad,1,2,3,3740,Unfurnished,2,1,1,14,Apartment,2214564
H0222,Hyderabad,2,4,0,3095,Semi-Furnished,2,11,13,12,Independent House,9194379
H0223,Delhi,4,2,0,2151,Unfurnished,2,0,8,12,Independent House,11991464
H0224,Mumbai,5,2,2,3466,Furnished,2,23,5,17,Independent House,11070032
H0225,Bangalore,3,1,1,2240,Furnished,1,19,12,12,Independent House,4834055
H0226,Bangalore,3,4,2,3836,Unfurnished,0,4,7,7,Villa,19439324
H0227,Pune,2,3,3,2111,Unfurnished,0,5,11,10,Villa,1924452
H0228,Delhi,1,4,2,2336,Furnished,0,29,11,16,Apartment,24635452
H0229,Chennai,2,4,2,3356,Semi-Furnished,0,23,1,16,Independent House,21293205
H0230,Pune,4,3,3,2049,Furnished,2,10,2,11,Independent House,6943157
H0231,Delhi,4,1,2,2457,Furnished,1,7,1,13,Independent House,17473595
H0232,Mumbai,5,4,0,864,Unfurnished,1,6,5,9,Apartment,9157509
H0233,Mumbai,5,4,1,3259,Unfurnished,1,3,14,13,Villa,10571245
H0234,Mumbai,4,2,2,3479,Furnished,2,5,14,10,Independent House,7400173
H0235,Mumbai,4,4,3,3949,Semi-Furnished,1,15,6,14,Villa,8480330
H0236,Mumbai,4,3,1,3321,Furnished,2,19,10,14,Apartment,5947434
H0237,Delhi,2,2,3,2062,Furnished,1,14,9,14,Villa,20612776
H0238,Delhi,4,1,1,756,Semi-Furnished,0,13,8,8,Independent House,11685151
H0239,Hyderabad,3,2,1,2045,Furnished,2,22,7,17,Villa,6773724
H0240,Coimbatore,1,3,2,2898,Furnished,1,11,12,5,Villa,18653861
H0241,Bangalore,4,3,0,3525,Unfurnished,0,28,5,5,Apartment,13911968
H0242,Kolkata,1,2,2,2232,Semi-Furnished,0,11,14,18,Apartment,18710127
H0243,Mumbai,2,1,3,3177,Unfurnished,0,15,3,14,Apartment,17836115
H0244,Chennai,1,2,3,2974,Unfurnished,2,14,9,9,Apartment,24611182
H0245,Kolkata,2,1,1,3608,Semi-Furnished,2,28,13,17,Villa,2980929
H0246,Delhi,3,2,1,1494,Semi-Furnished,1,12,5,18,Villa,21536048
H0247,Chennai,2,3,0,2744,Furnished,0,10,3,7,Apartment,7744994
H0248,Chennai,2,4,2,1112,Unfurnished,1,29,3,9,Apartment,3277346
H0249,Chennai,5,4,3,815,Semi-Furnished,1,16,3,9,Independent House,22249008
H0250,Hyderabad,4,1,1,3803,Unfurnished,0,20,14,5,Independent House,22115094
H0251,Delhi,4,1,0,3931,Unfurnished,1,14,6,18,Apartment,17221852
H0252,Chennai,3,1,3,2772,Semi-Furnished,2,13,1,12,Villa,7088592
H0253,Mumbai,3,3,1,3753,Furnished,1,9,11,9,Apartment,5069829
H0254,Pune,4,2,3,3954,Unfurnished,0,11,4,9,Villa,8905246
H0255,Chennai,5,3,0,2306,Semi-Furnished,2,15,13,13,Villa,21368416
H0256,Hyderabad,4,4,0,2706,Furnished,2,14,8,12,Independent House,5214886
H0257,Kolkata,5,1,3,2167,Unfurnished,1,9,3,17,Apartment,21157945
H0258,Delhi,3,2,2,2808,Semi-Furnished,1,3,5,5,Apartment,23568206
H0259,Coimbatore,1,4,3,2931,Unfurnished,2,26,2,7,Villa,11833030
H0260,Hyderabad,3,4,1,2753,Semi-Furnished,1,22,2,16,Apartment,13557874
H0261,Chennai,3,4,2,1728,Semi-Furnished,0,28,11,11,Independent House,14743443
H0262,Delhi,2,3,1,827,Unfurnished,1,8,13,5,Independent House,5834965
H0263,Pune,2,1,3,2965,Unfurnished,1,20,7,5,Apartment,20392445
H0264,Chennai,2,4,2,2087,Semi-Furnished,2,19,10,9,Apartment,8642762
H0265,Hyderabad,2,1,1,1401,Furnished,1,8,3,13,Independent House,17707628
H0266,Bangalore,5,3,3,2222,Unfurnished,1,20,5,10,Apartment,15539641
H0267,Mumbai,4,4,3,2505,Semi-Furnished,1,24,3,14,Villa,4390632
H0268,Coimbatore,1,3,2,3521,Semi-Furnished,0,23,6,6,Apartment,11221896
H0269,Kolkata,3,3,3,1071,Furnished,1,19,13,15,Villa,21366891
H0270,Hyderabad,5,1,0,1679,Furnished,0,10,10,13,Apartment,4007913
H0271,Delhi,1,4,1,3272,Furnished,0,10,3,10,Apartment,5646181
H0272,Coimbatore,5,3,1,2660,Unfurnished,0,6,8,9,Independent House,9983057
H0273,Coimbatore,5,4,3,1641,Semi-Furnished,0,20,2,9,Villa,8360961
H0274,Coimbatore,3,1,3,3341,Semi-Furnished,2,9,3,19,Independent House,5688851
H0275,Chennai,4,3,0,3620,Semi-Furnished,0,3,8,16,Apartment,17751688
H0276,Mumbai,2,1,2,2760,Furnished,1,4,8,7,Independent House,5859122
H0277,Chennai,4,4,3,828,Semi-Furnished,0,4,1,18,Apartment,15009125
H0278,Delhi,3,4,3,770,Unfurnished,1,10,8,10,Apartment,17356513
H0279,Chennai,3,1,3,894,Furnished,0,8,10,19,Apartment,17516142
H0280,Bangalore,3,2,3,788,Furnished,2,27,2,19,Villa,5808368
H0281,Mumbai,1,3,1,1025,Furnished,0,15,12,17,Villa,5443183
H0282,Mumbai,4,4,3,1576,Furnished,0,8,7,8,Villa,23091195
H0283,Delhi,4,4,1,1702,Unfurnished,2,21,6,17,Independent House,21058484
H0284,Kolkata,5,3,3,3305,Semi-Furnished,0,29,2,16,Apartment,24500775
H0285,Bangalore,5,1,2,1518,Unfurnished,1,3,5,14,Independent House,7452521
H0286,Hyderabad,5,1,0,3853,Semi-Furnished,0,1,7,18,Independent House,12952553
H0287,Chennai,3,1,2,1098,Unfurnished,0,13,8,19,Apartment,17155665
H0288,Pune,4,2,3,2421,Furnished,0,2,3,6,Independent House,6921211
H0289,Chennai,3,2,3,3409,Furnished,2,17,1,17,Apartment,24194295
H0290,Coimbatore,1,4,3,1465,Unfurnished,0,20,13,7,Apartment,19431488
H0291,Chennai,5,1,2,1425,Unfurnished,0,5,7,13,Apartment,1773591
H0292,Hyderabad,3,3,3,2458,Semi-Furnished,1,10,13,15,Apartment,23638050
H0293,Chennai,3,4,2,2718,Unfurnished,0,20,5,15,Independent House,3683721
H0294,Bangalore,1,3,1,2895,Unfurnished,0,17,5,13,Independent House,1737963
H0295,Bangalore,2,4,0,745,Semi-Furnished,0,11,7,10,Independent House,22305270
H0296,Mumbai,4,2,0,2241,Semi-Furnished,0,4,1,14,Villa,8485012
H0297,Delhi,2,4,2,1919,Semi-Furnished,1,8,8,14,Independent House,12925633
H0298,Kolkata,5,2,1,3229,Unfurnished,1,19,12,18,Independent House,23221897
H0299,Pune,3,4,2,1069,Semi-Furnished,2,27,14,13,Villa,6766440
H0300,Coimbatore,1,1,1,792,Furnished,0,25,10,8,Apartment,20115258
H0301,Chennai,1,3,3,1691,Furnished,2,17,5,15,Apartment,16311305
H0302,Chennai,4,1,1,3141,Furnished,2,18,8,9,Apartment,15748225
H0303,Hyderabad,2,4,1,651,Unfurnished,0,2,10,14,Villa,13561863
H0304,Delhi,4,4,1,3529,Furnished,1,8,10,10,Independent House,12464464
H0305,Bangalore,3,4,0,3010,Unfurnished,1,3,5,17,Independent House,7059011
H0306,Pune,4,2,1,2420,Unfurnished,0,16,12,19,Independent House,7257662
H0307,Mumbai,1,3,3,3564,Furnished,0,16,7,13,Independent House,3265040
H0308,Bangalore,1,3,3,3121,Semi-Furnished,1,22,10,17,Villa,3880232
H0309,Coimbatore,5,4,3,2469,Unfurnished,0,22,3,9,Independent House,10770573
H0310,Delhi,5,4,1,3168,Furnished,0,1,2,12,Apartment,12350173
H0311,Coimbatore,3,2,2,2386,Unfurnished,0,8,6,15,Villa,2345377
H0312,Kolkata,2,1,2,2054,Semi-Furnished,1,8,5,5,Villa,15399012
H0313,Mumbai,4,1,3,2467,Semi-Furnished,2,4,9,9,Apartment,11642842
H0314,Kolkata,3,3,0,3969,Furnished,2,14,10,14,Apartment,2105109
H0315,Hyderabad,5,2,2,3338,Unfurnished,0,14,4,5,Independent House,18424431
H0316,Coimbatore,4,4,1,3869,Unfurnished,1,2,11,14,Apartment,12821936
H0317,Hyderabad,5,3,2,3799,Unfurnished,0,18,3,18,Villa,11256659
H0318,Chennai,4,2,3,3179,Unfurnished,1,27,9,10,Villa,14699751
H0319,Kolkata,2,1,0,2607,Furnished,0,2,8,11,Villa,18078887
H0320,Delhi,3,2,2,2034,Semi-Furnished,1,5,6,16,Independent House,13105855
H0321,Coimbatore,4,1,2,1439,Furnished,1,3,1,18,Independent House,8990282
H0322,Pune,1,2,3,3736,Unfurnished,2,23,14,9,Apartment,20466894
H0323,Mumbai,1,3,0,840,Unfurnished,0,12,10,5,Independent House,12716977
H0324,Bangalore,4,1,0,1135,Semi-Furnished,2,26,13,10,Independent House,3788421
H0325,Delhi,4,3,3,2007,Unfurnished,2,12,12,14,Villa,2021291
H0326,Delhi,4,3,1,682,Furnished,1,26,11,9,Villa,1798510
